#Ten minute radio light curves of 4U 1728-34. The MJD provided is the mid-point of the 10-minute long time bin. S5.5 is the flux density at 5.5GHz in mJy, S5.5_err is the 1-sigma uncertainty in mJy. S9 is the flux density at 9GHz in mJy, S9_err is the 1-sigma uncertainty in mJy.
#MJD S5.5 S5.5_err S9 S9_err
#Epoch 1
59308.8707  0.919  0.054  1.079  0.048
59308.8777  0.798  0.054  1.046  0.048
59308.8846  0.927  0.054  0.944  0.048
59308.8915  1.334  0.054  1.461  0.048
59308.8985  0.961  0.054  1.042  0.048
59308.9054  0.795  0.054  1.033  0.048
59308.9124  0.791  0.054  0.887  0.048
59308.9193  0.863  0.054  0.913  0.048
59308.9263  0.825  0.060  1.000  0.048
59308.9332  0.873  0.060  1.006  0.048
59308.9402  0.969  0.060  1.013  0.048
59308.9471  0.911  0.060  1.094  0.048
59308.9540  0.745  0.066  1.066  0.054
59308.9610  1.093  0.066  0.958  0.054
59308.9679  0.882  0.066  1.020  0.054
59308.9749  0.902  0.072  0.850  0.060
59308.9818  1.000  0.072  1.094  0.060
59308.9888  0.780  0.078  1.097  0.060
59308.9957  0.953  0.078  1.137  0.066
59309.0027  0.830  0.084  0.980  0.066
59309.0096  0.984  0.090  0.692  0.072
59309.0165  0.844  0.096  1.035  0.072
59309.0235  1.200  0.102  1.062  0.078
59309.0304  0.794  0.108  0.897  0.084
59309.0374  1.201  0.120  0.937  0.090
59309.0404  1.053  0.126  0.862  0.096
#Epoch 3
59309.5643  0.912  0.076  1.047  0.060
59309.5713  0.726  0.072  0.973  0.056
59309.5782  0.980  0.072  1.048  0.056
59309.5852  0.875  0.068  1.006  0.052
59309.5921  0.851  0.064  1.018  0.052
59309.5991  1.017  0.064  1.182  0.052
59309.6060  0.951  0.060  0.865  0.048
59309.6130  0.757  0.060  0.940  0.048
59309.6199  0.742  0.056  0.919  0.048
59309.6268  0.844  0.056  0.836  0.048
59309.6338  0.799  0.056  0.939  0.044
59309.6407  0.893  0.056  0.841  0.044
59309.6477  0.798  0.052  0.912  0.044
59309.6546  0.801  0.052  1.034  0.044
59309.6616  0.776  0.052  1.065  0.044
59309.6685  0.858  0.052  0.956  0.044
59309.6755  0.926  0.048  0.999  0.044
59309.6824  0.672  0.048  0.972  0.044
59309.6893  0.868  0.048  0.994  0.040
59309.6963  0.851  0.048  0.897  0.040
59309.7032  0.729  0.048  0.968  0.040
59309.7102  0.764  0.048  0.882  0.040
